"Resistance	Watermark"
"14026.4784136546	543.877728156465"
"14226.3566767068	537.234968823508"
"14426.234939759	530.753145106222"
"14626.1132028112	524.426159490038"
"14825.9914658635	518.248654965846"
"15025.8697289157	512.215929800379"
"15225.7479919679	506.323849369608"
"15425.6262550201	500.5687569325"
"15625.5045180723	494.947386186968"
"15825.3827811245	489.456776338935"
"16025.2610441767	484.094192324983"
"16225.1393072289	478.85705122939"
"16425.0175702811	473.742855632388"
"16624.8958333333	468.749135297956"
"16824.7740963855	463.873397272859"
"17024.6523594378	459.113086900619"
"17224.53062249	454.465554628739"
"17424.4088855422	449.928035774819"
"17624.2871485944	445.497636571132"
"17824.1654116466	441.171329635885"
"18024.0436746988	436.945956168403"
"18223.921937751	432.818236494097"
"18423.8002008032	428.784784760348"
"18623.6784638554	424.842130018829"
"18823.5567269076	420.986740724949"
"19023.4349899598	417.215051070096"
"19223.313253012	413.523492156359"
"19423.1915160643	409.90852108702"
"19623.0697791165	406.366652890583"
"19822.9480421687	402.894486183097"
"20022.8263052209	399.488737052025"
"20222.7045682731	396.146258051831"
"20422.5828313253	392.86406822947"
"20622.4610943775	389.639367411772"
"20822.3393574297	386.469554366782"
"21022.2176204819	383.352238459298"
"21222.0958835341	380.285250093628"
"21421.9741465863	377.266640331851"
"21621.8524096386	374.29468896807"
"21821.7306726908	371.367889634221"
"22021.608935743	368.484955702414"
"22221.4871987952	365.64480500227"
"22421.3654618474	362.846540296379"
"22621.2437248996	360.089442437176"
"22821.1219879518	357.372955766903"
"23021.000251004	354.696658408344"
"23220.8785140562	352.06024605062"
"23420.7567771084	349.463519948451"
"23620.6350401606	346.906346878779"
"23820.5133032129	344.388666976887"
"24020.3915662651	341.910437212058"
"24220.2698293173	339.471643677127"
"24420.1480923695	337.072273260796"
"24620.0263554217	334.712282168592"
"24819.9046184739	332.391601206271"
"25019.7828815261	330.110113932429"
"25219.6611445783	327.867653138872"
"25419.5394076305	325.663962175408"
"25619.4176706827	323.498738604534"
"25819.2959337349	321.371590191007"
"26019.1741967871	319.282044176971"
"26219.0524598394	317.22952916438"
"26418.9307228916	315.213428227384"
"26618.8089859438	313.233013720323"
"26818.687248996	311.287502201416"
"27018.5655120482	309.376042915184"
"27218.4437751004	307.497722443071"
"27418.3220381526	305.651558787664"
"27618.2003012048	303.83652846402"
"27818.078564257	302.051612494684"
"28017.9568273092	300.295738394549"
"28217.8350903614	298.567790327883"
"28417.7133534137	296.866688031738"
"28617.5916164659	295.191358708646"
"28817.4698795181	293.540719998482"
"29017.3481425703	291.913698450924"
"29217.2264056225	290.30930665308"
"29417.1046686747	288.726544411486"
"29616.9829317269	287.164519623982"
"29816.8611947791	285.622265304057"
"30016.7394578313	284.099021878626"
"30216.6177208835	282.594003974737"
"30416.4959839357	281.106530334384"
"30616.374246988	279.635950164622"
"30816.2525100402	278.181664946704"
"31016.1307730924	276.743252066542"
"31216.0090361446	275.320231750262"
"31415.8872991968	273.912222037956"
"31615.765562249	272.518936620923"
"31815.6438253012	271.14017742664"
"32015.5220883534	269.77563986635"
"32215.4003514056	268.425291193898"
"32415.2786144578	267.088932224431"
"32615.15687751	265.76641959906"
"32815.0351405622	264.458040837149"
"33014.9134036145	263.163374087091"
"33214.7916666667	261.882634946502"
"33414.6699297189	260.615687200054"
"33614.5481927711	259.362721219837"
"33814.4264558233	258.123418655805"
"34014.3047188755	256.897941426896"
"34214.1829819277	255.686386014031"
"34414.0612449799	254.488410213602"
"34613.9395080321	253.303975658911"
"34813.8177710843	252.13292304746"
"35013.6960341365	250.974884285892"
"35213.5742971888	249.830237044311"
"35413.452560241	248.697699596692"
"35613.3308232932	247.578143081626"
"35813.2090863454	246.470229422835"
"36013.0873493976	245.373916333527"
"36212.9656124498	244.289591641918"
"36412.843875502	243.215961276075"
"36612.7221385542	242.152586826518"
"36812.6004016064	241.099815998505"
"37012.4786646586	240.056992508544"
"37212.3569277108	239.023885931349"
